dataset	sample	score	ontology	similarity	pca	Celltype..Original.	Consortia	Library	CellType..Condensed.
Original	B_S001S714	-0.0436065067766155	Jaccard	Pearson	PC 1-4	Macrophage	Blueprint	Paired	Macrophage
Original	B_S013RU11	0.347692297717994	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS174IGM	0.0904010861185628	Jaccard	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Original	R_ENCBS516CJQ	0.0725373800579525	Jaccard	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Original	E_374AAA	0.312976867015211	Jaccard	Pearson	PC 1-4	Bipolar Spindle Neuron	ENCODE	Paired	Bipolar Spindle Neuron
Original	R_ENCBS407ALA	-0.208975461094539	Jaccard	Pearson	PC 1-4	Heart	Roadmap	Single	Heart
Original	E_485ENC	0.367858427987697	Jaccard	Pearson	PC 1-4	Hematopoietic Multipotent Progenitor Cell	ENCODE	Single	Hematopoietic Multipotent Progenitor Cell
Original	R_ENCBS011TVS	0.0891091420256326	Jaccard	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Original	R_ENCBS281CNH	-0.0193674945984363	Jaccard	Pearson	PC 1-4	Left Renal Cortex Interstitium	Roadmap	Single	Kidney
Original	E_297CQV_291AAA_624XJG	0.424526641627721	Jaccard	Pearson	PC 1-4	H7-Hesc	ENCODE	Single	H7-Hesc
Original	B_S013M311	0.33067791318666	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	E_340AAA_936GPP_612ENC_613ENC	-0.204428241251372	Jaccard	Pearson	PC 1-4	Fibroblast Of Lung	ENCODE	Single	Fibroblast
Original	B_S00D4711	0.36412268976767	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	B_S00XVL11	0.314560703224939	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	E_767POE_974EYF	0.115838012583348	Jaccard	Pearson	PC 1-4	Transverse Colon	ENCODE	Paired	Transverse Colon
Original	R_ENCBS855RFN	0.00500218993178595	Jaccard	Pearson	PC 1-4	Right Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS226ZND	-0.0926111314451547	Jaccard	Pearson	PC 1-4	Left Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS578HBL	-0.0728565888402335	Jaccard	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Original	E_044KWE	0.321202997317319	Jaccard	Pearson	PC 1-4	Neural Progenitor Cell	ENCODE	Paired	Neural Progenitor Cell
Original	E_004ENC_008ENC	-0.209883922628885	Jaccard	Pearson	PC 1-4	Fibroblast Of Lung	ENCODE	Single	Fibroblast
Original	R_ENCBS517FUR	0.0987219674889509	Jaccard	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Original	R_ENCBS145EYH	0.00468164694818759	Jaccard	Pearson	PC 1-4	Right Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS257BTU	0.00544554631906185	Jaccard	Pearson	PC 1-4	Left Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS008QPC	-0.170071176529879	Jaccard	Pearson	PC 1-4	Psoas Muscle	Roadmap	Single	Psoas Muscle
Original	B_S013QW11	0.326992189869192	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	R_ENCBS090AGL	-0.139173203710415	Jaccard	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Original	R_ENCBS610XAP	0.00512684553651865	Jaccard	Pearson	PC 1-4	Left Kidney	Roadmap	Single	Kidney
Original	B_S00D3911	0.329665291102271	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	E_369AAA	0.318020224817873	Jaccard	Pearson	PC 1-4	Bipolar Spindle Neuron	ENCODE	Paired	Bipolar Spindle Neuron
Original	R_ENCBS220QDW	-0.140096342205718	Jaccard	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Original	R_ENCBS136EGD	0.0760460152989235	Jaccard	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Original	R_ENCBS054CPR	-0.37686951617422	Jaccard	Pearson	PC 1-4	Thymus	Roadmap	Single	Thymus
Original	R_ENCBS516MKG	0.138609219341691	Jaccard	Pearson	PC 1-4	Left Lung	Roadmap	Single	Lung
Original	B_C001UYB4	-0.0766128166402408	Jaccard	Pearson	PC 1-4	Cd14-Positive Monocyte	Blueprint	Paired	Monocyte
Original	E_021ENC	0.302203064919065	Jaccard	Pearson	PC 1-4	Astrocyte	ENCODE	Single	Astrocyte
Original	E_942WBM_724UYV	-0.303605353290902	Jaccard	Pearson	PC 1-4	Adrenal Gland	ENCODE	Paired	Intestine
Original	E_526EMC	0.412877702739835	Jaccard	Pearson	PC 1-4	Myotube	ENCODE	Single	Myotube
Original	B_S00JRB11	-0.0327434136659942	Jaccard	Pearson	PC 1-4	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
Original	R_ENCBS405WVO	-0.0735614610920327	Jaccard	Pearson	PC 1-4	Fibroblast Of Skin Of Abdomen	Roadmap	Single	Fibroblast
Original	R_ENCBS142XDW	0.00516000515551158	Jaccard	Pearson	PC 1-4	Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS183TBX	0.0145699854738815	Jaccard	Pearson	PC 1-4	Right Renal Cortex Interstitium	Roadmap	Single	Kidney
Original	R_ENCBS574MIZ	0.136843978166611	Jaccard	Pearson	PC 1-4	Left Lung	Roadmap	Single	Lung
Original	B_S00XYF11	0.311883303414183	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	X4103	-0.0291308679617924	Jaccard	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Original	B_S00JQD11	-0.0270907979461938	Jaccard	Pearson	PC 1-4	Macrophage	Blueprint	Single	Macrophage
Original	B_S002R512	0.370416693424943	Jaccard	Pearson	PC 1-4	Erythroblast	Blueprint	Paired	Erythroblast
Original	E_0052WQU	0.30398248236212	Jaccard	Pearson	PC 1-4	Astrocyte	ENCODE	Single	Astrocyte
Original	R_ENCBS827OFK	-0.0141517885057622	Jaccard	Pearson	PC 1-4	Right Renal Pelvis	Roadmap	Single	Kidney
Original	R_ENCBS892WJE	0.0829361791139279	Jaccard	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Original	B_S00C0J11	-0.0223071068590407	Jaccard	Pearson	PC 1-4	Macrophage – B-Glucan	Blueprint	Paired	Macrophage – B-Glucan
Original	R_ENCBS479AOA	0.0977499392099069	Jaccard	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Original	R_ENCBS645HGQ	0.0988564426583196	Jaccard	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Original	B_S00D1D11	0.195989964725021	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Original	B_C005VG11	-0.0449869608926515	Jaccard	Pearson	PC 1-4	Macrophage	Blueprint	Paired	Macrophage
Combat	R_ENCBS984JKS	0.160306068682983	Jaccard	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Combat	R_ENCBS122USS	0.73879121886894	Jaccard	Pearson	PC 1-4	Right Lung	Roadmap	Single	Lung
Combat	R_ENCBS020XIW	0.154258370312608	Jaccard	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Combat	R_ENCBS897YOR	0.153487747766683	Jaccard	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Combat	R_ENCBS484BGT	-0.207029733301418	Jaccard	Pearson	PC 1-4	Thymus	Roadmap	Single	Thymus
Combat	E_293AAA	0.472853205996137	Jaccard	Pearson	PC 1-4	H7-Hesc	ENCODE	Single	H7-Hesc
Combat	E_372AAA	0.205696638608137	Jaccard	Pearson	PC 1-4	Fibroblast Of Arm	ENCODE	Paired	Fibroblast
Combat	B_S00XUN11	0.464455177263126	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	B_C0010KB1	0.500246235022522	Jaccard	Pearson	PC 1-4	Cd14-Positive Monocyte	Blueprint	Paired	Monocyte
Combat	R_ENCBS119WRO	0.294493594410145	Jaccard	Pearson	PC 1-4	Adrenal Gland	Roadmap	Single	Kidney
Combat	E_310EYM_210YNQ	-0.242277856198679	Jaccard	Pearson	PC 1-4	Uterus	ENCODE	Paired	Uterus
Combat	R_ENCBS611ZBY	0.15674953817621	Jaccard	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Combat	R_ENCBS586CPQ	0.148630676580809	Jaccard	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Combat	E_236AFP_140MNV	0.281806478841844	Jaccard	Pearson	PC 1-4	Myotube	ENCODE	Single	Myotube
Combat	B_S013PY11	0.471552129009206	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	E_624WYQ_702NUN	-0.145911952415114	Jaccard	Pearson	PC 1-4	Thyroid Gland	ENCODE	Paired	Thyroid Gland
Combat	R_ENCBS507RPJ	0.201430566839685	Jaccard	Pearson	PC 1-4	Pancreas	Roadmap	Single	Pancreas
Combat	E_174MRL_767MGS	0.0806617500991862	Jaccard	Pearson	PC 1-4	Transverse Colon	ENCODE	Paired	Transverse Colon
Combat	E_197JOA_315DHM	-0.421431822329544	Jaccard	Pearson	PC 1-4	Testis	ENCODE	Paired	Testis
Combat	R_ENCBS588ZWT	0.310547096794048	Jaccard	Pearson	PC 1-4	Large Intestine	Roadmap	Single	Intestine
Combat	B_S00BYT11	0.532221557185022	Jaccard	Pearson	PC 1-4	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
Combat	B_C0066P12	0.517371690808879	Jaccard	Pearson	PC 1-4	Cd8-Positive, Alpha-Beta T Cell	Blueprint	Paired	T-Cell
Combat	R_ENCBS336CDQ	0.154933959493513	Jaccard	Pearson	PC 1-4	Skin Fibroblast	Roadmap	Single	Fibroblast
Combat	E_279OPH_711CPB	-0.508968050776511	Jaccard	Pearson	PC 1-4	Ovary	ENCODE	Paired	Ovary
Combat	E_423TBO_548ULT	0.426999409098141	Jaccard	Pearson	PC 1-4	Adrenal Gland	ENCODE	Paired	Intestine
Combat	E_869RCC_231OMQ	0.282714524637492	Jaccard	Pearson	PC 1-4	Lhcn-M2	ENCODE	Single	Lhcn-M2
Combat	R_ENCBS948PMG	-0.192847526218018	Jaccard	Pearson	PC 1-4	Thymus	Roadmap	Single	Thymus
Combat	E_074ENC_911DVL_753AAA_754AAA	0.340850827621661	Jaccard	Pearson	PC 1-4	Foreskin Fibroblast	ENCODE	Single	Fibroblast
Combat	R_ENCBS099OIO	0.163063116675976	Jaccard	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Combat	R_ENCBS615YKY	0.312280193963673	Jaccard	Pearson	PC 1-4	Small Intestine	Roadmap	Single	Intestine
Combat	E_409AIP_174MRL	0.0369404178121128	Jaccard	Pearson	PC 1-4	Transverse Colon	ENCODE	Paired	Transverse Colon
Combat	E_111ENC_780AAA_716AAA_051SJH_731AAA_734AAA_733AAA_732AAA	0.4537714170496	Jaccard	Pearson	PC 1-4	H1-Hesc	ENCODE	Single	H1-Hesc
Combat	B_S00BXV11	0.543548895541072	Jaccard	Pearson	PC 1-4	Macrophage	Blueprint	Single	Macrophage
Combat	E_477CHZ_628ENC_626ENC	0.503507060431391	Jaccard	Pearson	PC 1-4	Cd14-Positive Monocyte	ENCODE	Single	Monocyte
Combat	R_ENCBS345TTL	0.146243895834983	Jaccard	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Combat	E_077RUJ	0.168513974987006	Jaccard	Pearson	PC 1-4	Hepatocyte	ENCODE	Paired	Hepatocyte
Combat	B_S005EJ11	0.48140017046909	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	R_ENCBS645JEU	-0.494603478940043	Jaccard	Pearson	PC 1-4	Ovary	Roadmap	Single	Ovary
Combat	R_ENCBS054WKY	0.154103017719685	Jaccard	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Combat	B_S00XWJ11	0.471571165567494	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	B_C005PS12	0.500493303425727	Jaccard	Pearson	PC 1-4	Cd14-Positive, Cd16-Negative Classical Monocyte	Blueprint	Paired	Monocyte
Combat	R_ENCBS917VNB	0.67330771426869	Jaccard	Pearson	PC 1-4	Right Lung	Roadmap	Single	Lung
Combat	B_S00D0F11	0.484398121358107	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	R_ENCBS026RJE	0.176128085528293	Jaccard	Pearson	PC 1-4	Renal Cortex Interstitium 	Roadmap	Single	Kidney
Combat	R_ENCBS620YJZ	0.177618365144995	Jaccard	Pearson	PC 1-4	Renal Cortex Interstitium 	Roadmap	Single	Kidney
Combat	B_C0011IB1	0.506864298192274	Jaccard	Pearson	PC 1-4	Cd14-Positive Monocyte	Blueprint	Paired	Monocyte
Combat	R_ENCBS914JTX	0.268569991416878	Jaccard	Pearson	PC 1-4	Pancreas	Roadmap	Single	Pancreas
Combat	B_S00CYP11	0.479946023048937	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	R_ENCBS180EDA	0.147536590260964	Jaccard	Pearson	PC 1-4	Skin Fibroblast	Roadmap	Single	Fibroblast
Combat	B_S008H111	0.507527975210484	Jaccard	Pearson	PC 1-4	Cd4-Positive, Alpha-Beta T Cell	Blueprint	Paired	T-Cell
Combat	R_ENCBS448HVV	0.184668179846008	Jaccard	Pearson	PC 1-4	Renal Cortex Interstitium 	Roadmap	Single	Kidney
Combat	R_ENCBS143LJK	0.748271786683589	Jaccard	Pearson	PC 1-4	Left Lung	Roadmap	Single	Lung
Combat	B_S00CWT11	0.471025860284936	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	B_S00B0N11	0.311302746343646	Jaccard	Pearson	PC 1-4	Chronic Lymphocytic Leukemia	Blueprint	Paired	Lymphocytic Leukemia
Combat	R_ENCBS992XAC	0.156543834150006	Jaccard	Pearson	PC 1-4	Muscle Of Trunk	Roadmap	Single	Muscle Of Trunk
Combat	R_ENCBS180RZG	0.137575466766591	Jaccard	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Combat	R_ENCBS754TWW_ENCBS048TNH	-0.000146902641868601	Jaccard	Pearson	PC 1-4	Imr-90	Roadmap	Single	Imr-90
Combat	R_ENCBS143XQJ	0.151962467763432	Jaccard	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Combat	R_ENCBS529UES	0.310194625703022	Jaccard	Pearson	PC 1-4	Small Intestine	Roadmap	Single	Intestine
Combat	B_S005FH11	0.480631953229811	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	R_ENCBS785KTZ	0.149772173918789	Jaccard	Pearson	PC 1-4	Renal Pelvis	Roadmap	Single	Kidney
Combat	R_ENCBS434EOI	0.175564216825108	Jaccard	Pearson	PC 1-4	Kidney	Roadmap	Single	Kidney
Combat	R_ENCBS291NHF	0.145613601477041	Jaccard	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Combat	R_ENCBS172XKB	-0.332334093917482	Jaccard	Pearson	PC 1-4	Heart	Roadmap	Single	Heart
Combat	B_S00HTF11	0.550929535229967	Jaccard	Pearson	PC 1-4	Macrophage – B-Glucan	Blueprint	Paired	Macrophage – B-Glucan
Combat	R_ENCBS599HUG	-0.419046980785211	Jaccard	Pearson	PC 1-4	Spleen	Roadmap	Single	Spleen
Combat	X4102	0.160344731771988	Jaccard	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Combat	X4125	0.190582107270872	Jaccard	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Combat	R_ENCBS421OZO	0.751361112346068	Jaccard	Pearson	PC 1-4	Right Lung	Roadmap	Single	Lung
Combat	B_S00Y1311	0.473812566785214	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	B_S00CS011	0.527552085166188	Jaccard	Pearson	PC 1-4	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
Combat	R_ENCBS246MHN	0.151432662698255	Jaccard	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Combat	R_ENCBS699KFK	0.351686848213714	Jaccard	Pearson	PC 1-4	Large Intestine	Roadmap	Single	Intestine
Combat	E_234AAA	0.284092834876185	Jaccard	Pearson	PC 1-4	Lhcn-M2	ENCODE	Single	Lhcn-M2
Combat	B_S013SS11	0.507993014231657	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	R_ENCBS674SNK	0.195550843894963	Jaccard	Pearson	PC 1-4	Left Renal Cortex Interstitium	Roadmap	Single	Kidney
Combat	B_S00CTZ11	0.552635452282613	Jaccard	Pearson	PC 1-4	Macrophage – B-Glucan	Blueprint	Paired	Macrophage – B-Glucan
Combat	R_ENCBS867ILV	0.356306218759954	Jaccard	Pearson	PC 1-4	Large Intestine	Roadmap	Single	Intestine
Combat	B_S00Y6U11	0.493639449282893	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	R_ENCBS796DWQ	-0.487388105018179	Jaccard	Pearson	PC 1-4	Testis	Roadmap	Single	Testis
Combat	R_ENCBS341OKA	-0.5159730607836	Jaccard	Pearson	PC 1-4	Ovary	Roadmap	Single	Ovary
Combat	X4116	0.140706372143101	Jaccard	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Combat	B_S00D5511	0.480230343258198	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	R_ENCBS263ZZU	0.165838623387884	Jaccard	Pearson	PC 1-4	Kidney	Roadmap	Single	Kidney
Combat	R_ENCBS159PIU	0.183512796235424	Jaccard	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Combat	X4111	0.162612396774473	Jaccard	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Combat	E_852WTL_483ENC	0.495569779878571	Jaccard	Pearson	PC 1-4	B Cell	ENCODE	Single	B Cell
Combat	B_S00HSH11	0.541154593673445	Jaccard	Pearson	PC 1-4	Macrophage - Lps	Blueprint	Single	Macrophage - Lps
Combat	R_ENCBS376PWL	0.190618859601039	Jaccard	Pearson	PC 1-4	Left Renal Cortex Interstitium	Roadmap	Single	Kidney
Combat	R_ENCBS262QPN	0.17843129573396	Jaccard	Pearson	PC 1-4	Renal Pelvis	Roadmap	Single	Kidney
Combat	E_328AAA	0.410932847829089	Jaccard	Pearson	PC 1-4	Skeletal Muscle Myoblast	ENCODE	Single	Skeletal Muscle Myoblast
Combat	R_ENCBS478OZL	0.167013947661078	Jaccard	Pearson	PC 1-4	Kidney	Roadmap	Single	Kidney
Combat	R_ENCBS993PWO	0.747247541281967	Jaccard	Pearson	PC 1-4	Right Lung	Roadmap	Single	Lung
Combat	B_S00B2J11	0.308300045257739	Jaccard	Pearson	PC 1-4	Chronic Lymphocytic Leukemia	Blueprint	Paired	Lymphocytic Leukemia
Combat	R_ENCBS384LIR	0.143165089902496	Jaccard	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Combat	R_ENCBS023IXF	0.132711027078287	Jaccard	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Combat	B_S00HRJ11	0.545950566380848	Jaccard	Pearson	PC 1-4	Macrophage	Blueprint	Single	Macrophage
Combat	E_589ENC_591ENC_818IBE_567ENC_565ENC_569ENC_564ENC_563ENC_586ENC	0.345583435593106	Jaccard	Pearson	PC 1-4	Keratinocyte	ENCODE	Single	Keratinocyte
Combat	R_ENCBS117CVU	0.747934467712089	Jaccard	Pearson	PC 1-4	Left Lung	Roadmap	Single	Lung
Combat	R_ENCBS078XUR	0.749028757490306	Jaccard	Pearson	PC 1-4	Left Lung	Roadmap	Single	Lung
Combat	B_S004BT12	0.587901304883419	Jaccard	Pearson	PC 1-4	Cd34-Negative, Cd41-Positive, Cd42-Positive Megakaryocyte Cell	Blueprint	Paired	Megakaryocyte
Combat	B_S00CR211	0.542213269338946	Jaccard	Pearson	PC 1-4	Macrophage	Blueprint	Single	Macrophage
Combat	B_S00Y4Y11	0.501566026520792	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	R_ENCBS136SDO	0.136436419099108	Jaccard	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Combat	R_ENCBS623YHX	0.324586460437733	Jaccard	Pearson	PC 1-4	Small Intestine	Roadmap	Single	Intestine
Combat	B_S0022I12	0.557444320691277	Jaccard	Pearson	PC 1-4	Macrophage	Blueprint	Paired	Macrophage
Combat	R_ENCBS133LAN	0.326973830648274	Jaccard	Pearson	PC 1-4	Small Intestine	Roadmap	Single	Intestine
Combat	B_S0022I14	0.569887970764565	Jaccard	Pearson	PC 1-4	Inflammatory Macrophage	Blueprint	Paired	Inflammatory Macrophage
Combat	E_524RBS_291PVB	-0.0430233383798778	Jaccard	Pearson	PC 1-4	Prostate Gland	ENCODE	Paired	Prostate Gland
Combat	B_S002S312	0.59253259398027	Jaccard	Pearson	PC 1-4	Erythroblast	Blueprint	Paired	Erythroblast
Combat	X4101	0.16976539694072	Jaccard	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Combat	E_018TPT	0.339672401744823	Jaccard	Pearson	PC 1-4	Neural Progenitor Cell	ENCODE	Paired	Neural Progenitor Cell
Combat	B_S00JS911	0.548997636364731	Jaccard	Pearson	PC 1-4	Macrophage – B-Glucan	Blueprint	Paired	Macrophage – B-Glucan
Combat	R_ENCBS383OVQ	0.186421567517403	Jaccard	Pearson	PC 1-4	Large Intestine	Roadmap	Single	Intestine
Combat	X4105	0.132773535921301	Jaccard	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Combat	X4104	0.156854504890286	Jaccard	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Combat	X4107	0.192876176171301	Jaccard	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Combat	X4109	0.197942654355841	Jaccard	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Combat	X4108	0.172950443885722	Jaccard	Pearson	PC 1-4	Hepatocyte	DEEP	Paired	Hepatocyte
Combat	E_921WWM_472LWI	0.389067367077056	Jaccard	Pearson	PC 1-4	Gastrocnemius Medialis	ENCODE	Paired	Muscle Of Leg
Combat	R_ENCBS636QOC	0.166044903993119	Jaccard	Pearson	PC 1-4	Left Renal Cortex Interstitium	Roadmap	Single	Kidney
Combat	R_ENCBS261IIB	0.157275772058168	Jaccard	Pearson	PC 1-4	Muscle Of Arm	Roadmap	Single	Muscle Of Arm
Combat	R_ENCBS445IVN	0.35043288734687	Jaccard	Pearson	PC 1-4	Large Intestine	Roadmap	Single	Intestine
Combat	R_ENCBS890NFL	0.0899731820510091	Jaccard	Pearson	PC 1-4	Skin Fibroblast	Roadmap	Single	Fibroblast
Combat	R_ENCBS441WEO	0.171414902187052	Jaccard	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Combat	B_S00DFM11	0.170634346561451	Jaccard	Pearson	PC 1-4	Acute Lymphocytic Leukemia	Blueprint	Paired	Lymphocytic Leukemia
Combat	E_658GLE_376ASB	-0.253659300733108	Jaccard	Pearson	PC 1-4	Thyroid Gland	ENCODE	Paired	Thyroid Gland
Combat	E_367AAA	0.205681899492694	Jaccard	Pearson	PC 1-4	Fibroblast Of Arm	ENCODE	Paired	Fibroblast
Combat	R_ENCBS825MQT	0.159868870872068	Jaccard	Pearson	PC 1-4	Muscle Of Back	Roadmap	Single	Muscle Of Back
Combat	R_ENCBS105LQM	0.148302164180753	Jaccard	Pearson	PC 1-4	Hindlimb Muscle	Roadmap	Single	Hindlimb Muscle
Combat	B_S00CXR11	0.489450178294595	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	R_ENCBS198CXJ	-0.30496447837961	Jaccard	Pearson	PC 1-4	Thymus	Roadmap	Single	Thymus
Combat	R_ENCBS988KQJ	0.15525680239203	Jaccard	Pearson	PC 1-4	Forelimb Muscle	Roadmap	Single	Forelimb Muscle
Combat	R_ENCBS467PJB	0.743742864754763	Jaccard	Pearson	PC 1-4	Right Lung	Roadmap	Single	Lung
Combat	R_ENCBS947JRD	0.15690734693661	Jaccard	Pearson	PC 1-4	Muscle Of Leg	Roadmap	Single	Muscle Of Leg
Combat	R_ENCBS935VKR	0.161144695099329	Jaccard	Pearson	PC 1-4	Right Renal Pelvis	Roadmap	Single	Kidney
Combat	E_371OZD_227VDO	0.436598716772707	Jaccard	Pearson	PC 1-4	Adrenal Gland	ENCODE	Paired	Intestine
Combat	B_S00D6311	0.46410207981102	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	R_ENCBS200XAZ	0.376707584338344	Jaccard	Pearson	PC 1-4	Adrenal Gland	Roadmap	Single	Kidney
Combat	R_ENCBS034SKE	0.182904773962914	Jaccard	Pearson	PC 1-4	Kidney	Roadmap	Single	Kidney
Combat	R_ENCBS373RUA	-0.311216953988586	Jaccard	Pearson	PC 1-4	Spinal Cord	Roadmap	Single	Spinal Cord
Combat	R_ENCBS055ULH	0.181354868808504	Jaccard	Pearson	PC 1-4	Left Renal Pelvis	Roadmap	Single	Kidney
Combat	B_S013N111	0.497735379727329	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	R_ENCBS716QQK	0.347450877814591	Jaccard	Pearson	PC 1-4	Stomach	Roadmap	Single	Stomach
Combat	R_ENCBS754ANY	0.128587475851433	Jaccard	Pearson	PC 1-4	Left Renal Pelvis	Roadmap	Single	Kidney
Combat	R_ENCBS599YIE	0.141629622427566	Jaccard	Pearson	PC 1-4	Fibroblast Of Skin Of Abdomen	Roadmap	Single	Fibroblast
Combat	B_S00XXH11	0.469746726384522	Jaccard	Pearson	PC 1-4	Acute Myeloid Leukemia	Blueprint	Paired	Acute Myeloid Leukemia
Combat	R_ENCBS818WCN	0.174874826073126	Jaccard	Pearson	PC 1-4	Right Renal Cortex Interstitium	Roadmap	Single	Kidney
Combat	R_ENCBS997WGU	0.355372509663515	Jaccard	Pearson	PC 1-4	Large Intestine	Roadmap	Single	Intestine
Combat	R_ENCBS660CJK	0.449003579156226	Jaccard	Pearson	PC 1-4	Adrenal Gland	Roadmap	Single	Kidney
